Country,Date,Coalition
Afghanistan,18/09/2010,Y
Afghanistan,15/10/2016,Y
Afghanistan,20/10/2018,Y
Albania,24/06/2001,Y
Albania,03/07/2005,Y
Albania,28/06/2009,Y
Albania,23/06/2013,Y
Albania,25/06/2017,Y
Albania,25/04/2021,Y
Algeria,30/05/2002,Y
Algeria,17/05/2007,Y
Algeria,10/05/2012,Y
Algeria,04/05/2017,Y
Algeria,12/06/2021,Y
Andorra,04/03/2001,Y
Andorra,24/04/2005,Y
Andorra,26/04/2009,Y
Andorra,03/04/2011,N
Andorra,01/03/2015,N
Andorra,07/04/2019,Y
Andorra,02/04/2023,Y
Angola,05/09/2008,N
Angola,31/08/2012,N
Angola,23/08/2017,N
Angola,24/08/2022,N
Anguilla,03/03/2000,N
Anguilla,21/02/2005,N
Anguilla,15/02/2010,N
Anguilla,22/04/2015,N
Anguilla,29/06/2020,N
Antigua and Barbuda,23/03/2004,N
Antigua and Barbuda,12/03/2009,N
Antigua and Barbuda,12/06/2014,N
Antigua and Barbuda,21/03/2018,N
Antigua and Barbuda,18/01/2023,N
Argentina,14/10/2001,N
Argentina,27/04/2003,N
Argentina,23/10/2005,N
Argentina,28/10/2007,N
Argentina,28/06/2009,N
Argentina,23/10/2011,N
Argentina,27/10/2013,N
Argentina,25/10/2015,Y
Argentina,29/10/2017,Y
Argentina,27/10/2019,Y
Argentina,24/10/2021,Y
Armenia,25/05/2003,Y
Armenia,12/05/2007,Y
Armenia,06/05/2012,Y
Armenia,02/04/2017,N
Armenia,09/12/2018,Y
Armenia,20/06/2021,N
Australia,10/11/2001,Y
Australia,09/10/2004,Y
Australia,24/11/2007,N
Australia,21/08/2010,Y
Australia,07/09/2013,Y
Australia,02/07/2016,Y
Australia,18/05/2019,Y
Australia,21/05/2022,Y
Austria,24/11/2002,Y
Austria,01/10/2006,Y
Austria,28/09/2008,Y
Austria,29/09/2013,Y
Austria,15/10/2017,Y
Austria,29/09/2019,Y
Azerbaijan,05/11/2000,N
Azerbaijan,06/11/2005,N
Azerbaijan,13/05/2006,N
Azerbaijan,07/11/2010,N
Azerbaijan,01/11/2015,N
Azerbaijan,09/02/2020,N
Bahamas,02/05/2002,N
Bahamas,02/05/2007,N
Bahamas,07/05/2012,N
Bahamas,10/05/2017,N
Bahamas,16/09/2021,N
Bahrain,24/10/2002,N
Bahrain,23/10/2010,N
Bahrain,24/09/2011,N
Bahrain,22/11/2014,N
Bahrain,24/11/2018,N
Bahrain,01/12/2018,N
Bahrain,12/11/2022,N
Bangladesh,01/10/2001,Y
Bangladesh,29/12/2008,Y
Bangladesh,05/01/2014,Y
Bangladesh,30/12/2018,Y
Barbados,21/05/2003,N
Barbados,15/01/2008,N
Barbados,21/02/2013,N
Barbados,24/05/2018,N
Barbados,19/01/2022,N
Belarus,15/10/2000,N
Belarus,17/10/2004,N
Belarus,28/09/2008,N
Belarus,23/09/2012,N
Belarus,11/09/2016,N
Belarus,17/11/2019,N
Belgium,18/05/2003,Y
Belgium,10/06/2007,Y
Belgium,13/06/2010,Y
Belgium,25/05/2014,Y
Belgium,26/05/2019,Y
Belize,05/03/2003,N
Belize,07/02/2008,N
Belize,07/03/2012,N
Belize,04/11/2015,N
Belize,11/11/2020,N
Benin,30/03/2003,Y
Benin,31/03/2007,Y
Benin,30/04/2011,Y
Benin,26/04/2015,Y
Benin,28/04/2019,N
Benin,08/01/2023,Y
Bhutan,24/03/2008,N
Bhutan,31/05/2013,N
Bhutan,13/07/2013,N
Bhutan,18/10/2018,N
Bolivia,30/06/2002,Y
Bolivia,18/12/2005,N
Bolivia,06/12/2009,N
Bolivia,12/10/2014,N
Bolivia,20/10/2019,N
Bolivia,18/10/2020,N
Bosnia and Herzegovina,12/10/2014,Y
Bosnia and Herzegovina,07/10/2018,Y
Botswana,30/10/2004,N
Botswana,16/10/2009,N
Botswana,24/10/2014,N
Botswana,23/10/2019,N
Brazil,06/10/2002,Y
Brazil,01/10/2006,Y
Brazil,03/10/2010,Y
Brazil,05/10/2014,Y
Brazil,07/10/2018,Y
Brazil,02/10/2022,Y
Brunei,01/01/2000,N
Bulgaria,17/06/2001,Y
Bulgaria,25/06/2005,Y
Bulgaria,05/07/2009,Y
Bulgaria,12/05/2013,Y
Bulgaria,05/10/2014,Y
Bulgaria,26/03/2017,Y
Bulgaria,04/04/2021,N
Bulgaria,11/07/2021,Y
Bulgaria,14/11/2021,Y
Bulgaria,02/10/2022,Y
Bulgaria,02/04/2023,Y
Burkina Faso,05/05/2002,N
Burkina Faso,06/05/2007,N
Burkina Faso,02/12/2012,N
Burkina Faso,29/11/2015,N
Burkina Faso,22/11/2020,N
Burundi,29/11/2001,Y
Burundi,04/07/2005,N
Burundi,23/07/2010,N
Burundi,29/06/2015,N
Burundi,20/05/2020,N
Cabo Verde,14/01/2001,N
Cabo Verde,22/01/2006,N
Cabo Verde,06/02/2011,N
Cabo Verde,20/03/2016,N
Cabo Verde,18/04/2021,N
Cambodia,27/07/2003,Y
Cambodia,27/07/2008,N
Cambodia,28/07/2013,N
Cambodia,29/07/2018,N
Cambodia,23/07/2023,N
Cameroon,23/06/2002,Y
Cameroon,22/07/2007,N
Cameroon,30/09/2013,N
Cameroon,09/02/2020,N
Canada,27/01/2000,N
Canada,28/06/2004,N
Canada,23/01/2006,N
Canada,14/10/2008,N
Canada,02/05/2011,N
Canada,19/10/2015,N
Canada,21/10/2019,N
Canada,20/09/2021,N
Central African Republic,13/03/2005,N
Central African Republic,08/05/2005,N
Central African Republic,23/01/2011,N
Central African Republic,27/03/2011,N
Central African Republic,14/02/2016,N
Central African Republic,31/03/2016,N
